treatment,treatment_label,replicate,week,soil_pH,organic_carbon_pct,available_N_mgkg,available_P_mgkg,available_K_mgkg,MBC_ugg,MBN_ugg,MBP_ugg,MBK_ugg,urease_activity,amylase_activity,dehydrogenase_activity,genus_Bacillus,genus_Pseudomonas,genus_Azotobacter,genus_Rhizobium,genus_Streptomyces,genus_Arthrobacter,genus_Enterobacter,genus_Nitrosomonas,genus_Flavobacterium,genus_Serratia,genus_Micrococcus,genus_Paenibacillus,leaf_number_6wap,plant_height_cm,shoot_dry_matter_g,grain_yield_kg_ha
A,Unamended control,4,6,5.51,1.32,55.2,11.3,53.1,116.6,22.1,8.1,18.9,15.37,7.23,6.88,1900,534,105,291,1108,610,1260,1290,667,958,219,1392,8.1,30.3,3.89,
A,Unamended control,4,8,5.99,1.63,60.6,13.3,68.3,126.8,19.2,10.5,13.7,15.89,7.96,4.91,193,978,753,382,534,1545,62,833,342,968,627,944,,28.3,2.79,
A,Unamended control,4,10,6.07,1.54,58.7,12.5,62.0,122.0,19.8,8.2,13.5,18.58,5.81,5.99,518,771,384,131,584,415,284,3082,978,489,418,1108,,27.6,4.09,
A,Unamended control,4,12,5.9,1.6,61.0,10.6,59.9,113.9,17.8,6.4,11.3,16.43,8.87,8.44,275,554,1034,783,368,1028,382,2946,513,723,1641,1196,,31.2,3.49,2615.2
A,Unamended control,5,0,5.86,1.4,58.5,11.7,67.9,119.9,14.1,8.4,13.3,15.24,8.21,4.37,494,963,321,617,1125,93,265,1530,316,657,452,2811,,27.4,4.01,
A,Unamended control,5,2,6.16,1.56,50.4,12.0,65.5,127.9,20.6,9.4,11.7,17.22,6.64,4.85,2356,95,378,45,151,2952,378,609,166,64,759,922,,31.7,3.54,
A,Unamended control,5,4,6.15,1.51,45.7,10.0,61.9,135.4,17.5,11.7,15.7,14.48,7.72,7.21,2330,591,47,277,812,178,25,2237,234,1510,46,509,,29.1,4.82,
A,Unamended control,5,6,6.12,1.62,48.4,11.4,64.4,118.7,19.7,10.0,11.9,12.01,4.69,5.04,738,490,778,1385,1961,1353,233,1905,1274,168,223,902,10.6,27.9,4.67,
A,Unamended control,5,8,6.07,1.63,51.0,10.6,59.7,115.9,20.1,10.3,14.9,20.11,8.96,4.53,853,441,2076,384,1170,1228,651,1719,1256,238,11,1139,,25.9,3.52,
A,Unamended control,5,10,6.07,1.29,56.6,11.8,59.2,92.3,15.3,11.4,6.6,14.58,4.81,5.99,1263,1214,629,98,380,239,970,3070,63,27,2324,1146,,30.9,4.52,
A,Unamended control,5,12,6.47,1.52,49.8,11.4,63.7,122.7,15.3,13.4,14.4,13.55,8.23,4.94,284,58,768,603,185,284,912,2622,573,1340,973,845,,29.5,4.37,2579.0
A,Unamended control,6,0,6.09,1.53,59.4,12.2,41.8,119.2,17.1,5.6,13.2,18.75,4.66,5.2,113,1646,828,2226,335,42,394,1075,798,885,676,2755,,32.8,4.82,
A,Unamended control,6,2,5.93,1.78,57.3,11.9,59.5,121.8,17.1,9.6,16.6,15.67,5.0,5.83,1148,854,157,45,452,1323,665,3069,699,1528,293,757,,33.5,3.96,
A,Unamended control,6,4,6.4,1.53,61.5,11.1,65.5,115.3,15.3,9.8,15.7,15.37,4.46,3.26,63,688,912,770,6,391,1366,2749,1355,1447,891,490,,27.3,3.41,
A,Unamended control,6,6,6.01,1.39,54.5,8.9,64.3,109.6,16.3,7.9,16.6,16.37,6.24,5.53,246,59,2208,68,431,1018,168,2942,1604,30,618,1661,8.3,35.3,3.5,
A,Unamended control,6,8,6.17,1.33,48.5,12.9,58.8,141.0,18.9,8.9,16.8,14.79,3.79,4.02,389,216,499,100,165,2409,662,3241,287,431,669,1139,,30.4,4.09,
A,Unamended control,6,10,5.84,1.39,53.6,12.2,47.5,134.7,21.9,8.9,14.9,13.52,6.51,3.08,304,215,86,548,101,1004,2023,2187,218,579,196,633,,31.1,5.87,
A,Unamended control,6,12,5.79,1.58,50.0,11.6,61.4,142.0,22.0,9.6,16.4,8.72,9.3,5.52,1846,236,588,1711,1788,551,1021,2485,69,602,567,312,,31.2,3.92,2380.9
B,NPK inorganic fertilizer,1,0,5.91,2.0,61.2,15.1,80.8,225.8,22.7,12.8,23.5,26.07,8.89,7.77,790,504,163,848,312,979,519,621,1544,1152,915,1091,,34.5,4.67,
B,NPK inorganic fertilizer,1,2,6.07,1.82,72.8,13.5,95.1,166.7,27.0,11.1,18.0,23.24,6.43,7.9,2134,868,849,155,994,803,673,676,241,2145,788,672,,35.4,5.51,
B,NPK inorganic fertilizer,1,4,6.15,1.96,64.3,13.5,87.2,175.0,26.1,11.9,19.8,21.96,12.66,8.33,337,427,968,1354,831,603,1167,3817,916,426,417,720,,32.7,7.31,
B,NPK inorganic fertilizer,1,6,6.08,2.01,65.8,17.0,89.3,202.7,23.0,13.9,16.9,27.82,11.74,7.95,1055,1512,772,171,995,173,514,663,696,728,754,857,11.0,38.6,4.52,
B,NPK inorganic fertilizer,1,8,5.85,2.06,73.0,14.9,80.7,211.0,30.2,14.6,19.3,17.43,11.83,9.42,1462,1409,899,1067,1818,1072,881,1253,1025,317,214,488,,34.1,5.89,
B,NPK inorganic fertilizer,1,10,6.11,2.12,76.1,13.7,83.4,219.4,28.9,11.4,21.9,20.81,13.01,9.29,842,478,588,1165,707,357,1085,2051,1060,400,163,370,,31.6,6.14,
B,NPK inorganic fertilizer,1,12,6.3,1.97,68.8,11.7,83.7,197.8,23.4,14.9,19.4,21.15,10.01,9.46,1375,973,986,711,1024,1336,1871,1271,788,232,211,934,,33.4,6.39,3583.1
B,NPK inorganic fertilizer,2,0,5.89,1.9,65.7,15.9,71.9,214.1,25.9,10.9,17.3,20.1,7.96,7.61,409,980,597,544,1316,243,1159,2973,843,1356,852,605,,35.7,5.45,
B,NPK inorganic fertilizer,2,2,6.09,2.06,69.6,13.7,81.5,218.2,22.3,14.6,14.5,23.46,12.67,8.2,1037,776,521,994,704,1174,1014,1467,1119,523,707,1139,,38.6,5.51,
B,NPK inorganic fertilizer,2,4,5.98,2.13,74.6,12.4,92.4,205.4,26.7,16.2,19.9,23.04,9.24,8.42,1098,282,799,303,155,630,615,994,1256,1022,995,1196,,33.2,4.8,
B,NPK inorganic fertilizer,2,6,6.0,2.09,74.7,14.6,75.9,209.8,23.4,15.6,26.9,24.54,11.38,7.25,240,363,2173,1132,787,877,814,561,764,539,876,180,11.3,32.3,5.78,
B,NPK inorganic fertilizer,2,8,6.3,2.12,72.5,13.9,79.7,208.0,28.0,14.8,20.3,26.21,10.75,8.89,907,529,342,456,1392,343,678,1112,746,468,642,741,,33.6,5.79,
B,NPK inorganic fertilizer,2,10,6.15,2.07,84.8,14.0,86.9,219.8,28.0,18.1,19.3,25.03,9.47,7.64,735,649,759,2577,440,342,654,856,367,613,771,1121,,33.4,6.59,
B,NPK inorganic fertilizer,2,12,6.25,2.14,80.7,19.1,75.0,195.4,26.3,12.5,17.8,23.48,8.95,8.58,715,1153,619,868,468,701,585,1257,384,918,185,771,,34.1,5.55,3355.8
B,NPK inorganic fertilizer,3,0,6.16,2.02,75.4,13.6,77.3,196.6,27.8,12.2,21.0,25.44,12.07,9.63,346,515,455,717,1006,290,741,2263,817,186,332,665,,34.1,6.24,
B,NPK inorganic fertilizer,3,2,6.03,1.8,75.5,14.9,77.2,169.0,24.1,13.1,22.2,19.7,10.01,8.42,66,349,1050,1237,684,583,1397,1345,482,376,1166,63,,40.9,5.23,
B,NPK inorganic fertilizer,3,4,5.85,2.14,71.6,16.0,83.4,202.4,27.8,14.6,25.2,26.04,7.77,8.26,1744,734,1476,542,924,547,673,923,969,1102,1125,915,,34.6,5.87,
B,NPK inorganic fertilizer,3,6,6.49,1.97,74.3,16.3,89.5,198.4,19.9,14.5,14.2,27.85,10.72,9.04,293,742,454,2239,1332,1213,132,1087,487,1365,796,600,10.1,29.2,5.78,
B,NPK inorganic fertilizer,3,8,6.2,2.17,80.9,17.0,77.5,195.7,28.8,18.3,23.7,27.11,9.98,6.89,1199,732,1833,145,417,750,1277,687,543,1187,768,1226,,33.3,5.05,
B,NPK inorganic fertilizer,3,10,6.08,2.02,70.5,15.6,81.7,218.5,28.6,12.6,18.1,19.12,11.22,7.64,102,423,202,1328,515,1034,174,2486,772,2164,719,238,,33.2,5.87,
B,NPK inorganic fertilizer,3,12,6.11,1.95,69.6,15.3,91.2,204.6,28.3,15.1,18.1,26.59,12.21,11.3,557,1186,521,1013,1220,1255,178,487,645,488,533,1083,,35.2,6.07,3546.0
B,NPK inorganic fertilizer,4,0,6.01,1.95,59.8,14.3,84.6,185.8,31.4,11.4,19.5,22.39,9.84,7.36,685,1336,604,870,1104,1186,474,842,890,1107,1265,1283,,37.7,5.32,
B,NPK inorganic fertilizer,4,2,6.06,2.17,71.8,15.4,81.6,184.0,26.4,15.8,20.6,17.68,9.81,9.75,570,1530,558,1048,1504,740,523,729,214,835,807,903,,34.3,6.77,
B,NPK inorganic fertilizer,4,4,5.89,2.05,63.1,14.1,79.1,164.2,27.9,12.7,14.3,25.64,12.6,9.51,624,928,804,468,266,1559,959,672,298,899,262,387,,36.9,6.22,
B,NPK inorganic fertilizer,4,6,6.16,2.18,73.8,15.4,77.6,230.6,28.5,14.8,15.7,20.97,12.43,8.18,283,695,967,1900,654,1687,311,1219,297,976,679,661,11.2,34.1,5.59,
B,NPK inorganic fertilizer,4,8,6.35,2.2,68.9,14.5,84.0,186.2,27.2,13.7,22.9,27.37,10.07,7.69,1293,1031,384,1646,2006,1066,358,1109,547,490,503,980,,33.9,5.54,
B,NPK inorganic fertilizer,4,10,5.94,1.99,74.3,14.2,82.7,203.5,25.8,15.1,23.8,22.67,11.53,7.77,1103,1112,1267,861,692,967,851,490,435,639,1518,1069,,38.8,5.15,
B,NPK inorganic fertilizer,4,12,6.28,2.2,75.6,14.6,87.7,163.6,29.0,13.8,20.4,26.49,10.78,6.81,851,801,1520,972,194,650,496,2481,438,1881,909,482,,43.9,6.71,3186.8
B,NPK inorganic fertilizer,5,0,6.25,1.85,61.1,15.5,87.0,205.7,24.6,12.7,20.9,23.67,9.37,5.56,507,254,541,750,79,803,259,1811,752,795,422,1787,,36.4,4.89,
B,NPK inorganic fertilizer,5,2,6.38,1.89,73.3,15.7,83.2,194.2,26.4,13.1,17.8,21.46,12.52,7.48,529,1985,767,940,760,1626,577,1840,187,428,721,787,,33.6,4.69,
B,NPK inorganic fertilizer,5,4,6.27,2.08,75.7,12.0,83.5,205.6,23.6,13.4,19.2,28.65,13.38,5.73,2359,850,396,703,557,743,1327,1198,356,264,1205,1551,,33.0,6.57,
B,NPK inorganic fertilizer,5,6,6.14,2.02,70.6,13.1,73.8,207.7,24.7,19.0,17.0,19.67,11.27,9.67,757,107,347,778,557,419,868,1805,727,785,566,421,10.9,33.8,5.29,
B,NPK inorganic fertilizer,5,8,5.97,2.14,73.4,13.3,88.4,192.6,23.2,15.5,18.7,22.52,10.67,9.32,666,671,1625,111,2056,1629,1033,1067,443,826,770,521,,39.5,6.38,
B,NPK inorganic fertilizer,5,10,6.04,1.72,64.9,16.9,82.0,192.5,32.7,16.2,20.3,23.18,10.54,8.34,1600,1450,301,594,253,872,815,657,753,1009,1448,2165,,39.3,5.78,
B,NPK inorganic fertilizer,5,12,6.15,1.99,75.1,15.4,80.5,204.6,26.3,18.2,20.3,29.01,10.59,8.49,151,870,978,893,1121,1289,271,1402,315,605,124,331,,35.7,6.32,3989.9
B,NPK inorganic fertilizer,6,0,6.1,1.9,70.6,15.5,76.6,180.5,29.2,13.7,13.9,18.82,12.4,7.98,448,895,324,1002,1387,954,1130,1517,730,827,548,673,,36.6,6.03,
B,NPK inorganic fertilizer,6,2,6.36,2.09,66.1,12.8,80.4,186.0,22.9,12.4,18.1,20.8,9.64,9.03,1012,707,763,994,765,1017,1203,957,261,1217,432,534,,31.8,5.02,
B,NPK inorganic fertilizer,6,4,6.17,2.1,77.7,13.3,87.4,183.7,32.2,11.3,22.8,21.16,13.52,8.43,338,795,679,1055,364,752,1570,1188,432,262,794,1019,,36.2,5.96,
B,NPK inorganic fertilizer,6,6,6.14,2.06,68.6,15.0,86.6,188.2,27.2,12.4,18.4,20.06,12.48,9.12,1156,718,457,914,1433,796,905,933,786,482,725,490,11.4,37.8,5.3,
B,NPK inorganic fertilizer,6,8,6.2,1.92,69.9,13.2,76.4,217.0,29.5,15.5,20.1,26.08,7.78,8.99,1255,1240,404,1677,794,682,454,1079,474,1850,983,924,,39.5,5.57,
B,NPK inorganic fertilizer,6,10,6.32,2.1,72.0,15.5,86.3,219.1,26.1,13.9,20.1,26.17,9.11,9.28,911,1296,1162,707,325,485,647,422,257,1493,1123,917,,39.0,5.12,
B,NPK inorganic fertilizer,6,12,6.32,1.96,75.8,15.3,88.2,211.6,25.6,11.6,22.7,24.93,12.74,8.12,315,756,700,599,1223,1085,774,214,726,1718,794,263,,39.4,4.61,3208.4
C,Farmyard manure compost,1,0,6.08,2.08,70.8,12.6,84.3,167.9,27.6,9.9,20.7,20.03,7.75,6.79,696,589,808,538,577,1019,762,1365,443,626,641,923,,37.4,5.71,
C,Farmyard manure compost,1,2,5.89,1.85,68.5,14.7,82.7,185.7,26.7,12.6,16.5,20.75,9.57,7.11,142,894,732,389,729,2051,275,1777,1093,899,1295,684,,32.4,4.99,
C,Farmyard manure compost,1,4,5.98,1.93,68.1,10.3,79.4,170.0,26.7,10.3,18.5,20.96,10.15,7.4,788,74,952,1402,567,1083,2670,1690,923,65,419,542,,36.3,4.82,
C,Farmyard manure compost,1,6,6.1,1.7,66.6,14.4,83.8,175.7,28.7,10.0,15.6,24.22,12.48,7.95,535,121,546,730,1519,1226,647,670,720,979,945,1571,10.8,30.8,5.73,
C,Farmyard manure compost,1,8,6.04,1.95,68.3,16.8,91.5,189.6,26.1,12.3,21.7,21.39,9.27,8.63,366,224,1532,1220,865,456,571,467,720,1352,1190,158,,36.6,4.69,
C,Farmyard manure compost,1,10,6.23,1.7,69.3,15.8,80.5,183.9,28.8,14.8,22.4,25.28,11.81,8.44,550,587,309,714,809,926,879,1707,158,1618,623,289,,30.9,5.16,
C,Farmyard manure compost,1,12,6.3,2.02,69.5,14.9,80.9,194.0,28.5,11.9,19.5,22.0,7.67,6.55,2052,313,788,750,966,324,678,938,1081,1086,562,1554,,33.1,4.88,3498.5
C,Farmyard manure compost,2,0,5.88,1.99,65.7,13.1,79.0,187.7,22.1,13.6,18.3,17.48,9.13,8.71,1411,163,866,834,760,119,581,574,1678,427,1662,587,,32.4,5.22,
C,Farmyard manure compost,2,2,6.34,2.11,69.9,13.0,92.2,175.1,23.2,9.3,21.7,24.44,13.4,5.48,1840,1015,1735,750,258,630,835,1772,535,488,564,1408,,34.4,4.75,
C,Farmyard manure compost,2,4,6.32,1.98,72.0,15.5,74.2,182.0,24.7,10.3,17.8,25.82,10.05,5.64,229,788,692,1792,1338,1725,1345,1543,664,447,782,623,,33.9,4.41,
C,Farmyard manure compost,2,6,6.14,1.79,60.4,14.0,81.8,194.3,27.2,9.3,15.3,28.01,8.13,8.09,444,521,804,305,530,3208,1176,309,1669,494,318,703,10.1,36.2,5.28,
C,Farmyard manure compost,2,8,6.11,2.01,69.0,13.5,82.5,198.9,25.4,13.1,16.9,19.79,11.17,7.99,894,576,1137,615,936,807,392,3720,709,388,428,188,,29.8,5.85,
C,Farmyard manure compost,2,10,6.55,1.92,62.0,15.4,76.1,210.9,25.3,12.0,18.7,24.93,9.71,6.96,649,1061,471,805,761,1295,1182,938,968,1543,380,623,,29.6,4.96,
C,Farmyard manure compost,2,12,6.34,2.2,65.0,13.7,81.5,220.6,25.0,12.4,23.2,21.81,11.37,5.88,1016,353,816,485,880,130,939,1953,936,682,869,809,,40.0,5.41,3479.7
C,Farmyard manure compost,3,0,6.32,1.87,65.9,12.9,75.0,191.8,25.3,12.7,15.2,18.35,12.83,6.84,410,769,684,669,753,2083,83,4552,398,347,571,149,,32.8,5.49,
C,Farmyard manure compost,3,2,5.95,1.98,61.8,16.0,67.0,165.1,26.2,15.5,19.0,23.22,9.56,5.92,711,461,610,1022,941,2187,1769,1664,751,701,336,349,,29.4,4.49,
C,Farmyard manure compost,3,4,6.4,1.83,70.0,14.6,82.1,161.1,24.5,9.7,24.6,17.03,7.99,6.0,156,2227,245,560,304,721,533,1754,971,207,312,1025,,35.6,5.49,
C,Farmyard manure compost,3,6,6.31,1.98,69.4,16.0,79.6,181.9,23.0,14.0,21.8,21.94,11.9,4.99,1011,740,1009,1071,277,679,2207,2295,895,608,685,311,10.9,39.8,5.02,
C,Farmyard manure compost,3,8,6.18,1.98,68.4,15.1,84.3,193.8,25.1,12.3,15.5,19.96,8.94,6.11,953,396,334,439,349,618,277,1998,2355,612,969,1401,,37.0,6.51,
C,Farmyard manure compost,3,10,6.16,1.95,77.9,15.5,78.5,191.5,26.8,13.7,15.7,18.03,8.66,6.4,378,591,323,1016,312,1915,474,1261,582,338,532,660,,37.8,5.47,
C,Farmyard manure compost,3,12,6.19,1.91,73.9,14.8,86.4,204.6,28.3,13.1,20.0,26.13,9.17,6.9,922,486,916,847,785,320,100,1007,1582,916,1514,562,,37.6,6.95,3255.4
C,Farmyard manure compost,4,0,6.02,1.73,69.8,10.8,79.8,191.3,25.9,11.9,19.4,21.76,8.16,9.27,556,1479,1345,618,932,1510,589,1173,314,914,1411,835,,37.1,4.79,
C,Farmyard manure compost,4,2,6.19,1.88,62.4,12.6,85.6,184.5,21.9,13.0,17.9,31.89,9.99,6.69,1960,747,730,593,1131,517,1010,1787,294,1013,730,314,,35.7,5.94,
C,Farmyard manure compost,4,4,6.23,1.92,64.6,12.1,75.0,190.1,26.2,8.8,16.5,25.43,9.8,5.55,2154,591,448,1887,793,290,308,347,753,51,1941,485,,37.1,6.04,
C,Farmyard manure compost,4,6,6.08,1.93,70.5,14.6,78.1,184.6,29.7,14.9,19.9,27.25,9.19,9.3,746,221,741,1617,1335,819,1254,1037,615,802,287,342,10.9,36.2,5.04,
C,Farmyard manure compost,4,8,6.35,1.91,67.5,14.7,68.6,177.0,28.8,9.8,21.7,26.91,9.35,7.81,1404,397,461,417,1716,268,951,1314,1156,589,1632,1202,,33.7,6.49,
C,Farmyard manure compost,4,10,6.03,1.88,69.7,14.7,77.8,167.8,23.6,15.4,19.3,24.01,9.66,6.76,1824,560,472,783,874,869,952,1240,685,1099,340,474,,35.5,4.97,
C,Farmyard manure compost,4,12,6.07,2.1,73.4,15.1,70.6,221.4,22.9,16.0,21.9,24.67,8.84,7.84,538,573,1334,525,972,116,972,516,252,402,578,1969,,36.4,5.37,3090.9
C,Farmyard manure compost,5,0,5.81,1.99,69.2,13.1,75.7,190.0,19.9,11.2,15.2,26.56,10.8,4.41,233,414,2113,994,593,622,205,1151,343,223,782,357,,32.6,4.84,
C,Farmyard manure compost,5,2,6.37,1.88,74.0,12.7,78.8,180.6,19.8,15.0,17.9,23.77,8.33,6.95,309,613,1506,1118,406,933,268,432,147,642,999,1150,,31.3,5.51,
C,Farmyard manure compost,5,4,5.81,1.9,63.2,13.8,71.6,190.3,25.3,15.1,18.5,19.51,9.27,5.64,997,2796,591,826,561,494,1017,1343,421,416,1321,1001,,36.7,5.6,
C,Farmyard manure compost,5,6,6.17,1.92,71.2,14.1,79.2,176.8,30.6,10.9,19.7,21.13,12.62,6.27,541,1098,742,1180,232,332,632,2426,467,742,1930,1078,11.3,34.2,5.25,
C,Farmyard manure compost,5,8,5.87,1.82,71.3,13.7,80.1,204.5,22.3,12.5,19.4,20.26,12.23,8.55,761,180,962,925,1445,753,391,1358,503,700,1168,483,,39.8,5.69,
C,Farmyard manure compost,5,10,6.2,2.05,64.1,15.0,76.0,196.2,25.5,14.0,19.4,13.44,10.36,8.33,763,204,644,615,119,908,801,2078,772,1283,433,1199,,34.2,5.99,
C,Farmyard manure compost,5,12,6.27,1.93,72.7,16.0,92.6,205.0,26.6,13.1,20.7,22.59,10.51,6.39,1100,470,1650,378,1253,246,830,891,865,773,837,287,,32.7,4.88,3318.3
C,Farmyard manure compost,6,0,5.96,1.5,61.8,12.7,72.9,201.8,22.8,13.9,18.0,21.12,8.06,6.98,316,752,1861,710,1149,707,466,1773,341,1630,1233,537,,33.7,4.98,
C,Farmyard manure compost,6,2,6.22,1.91,69.1,15.5,79.6,193.5,22.1,10.5,22.3,21.83,8.54,6.41,457,333,684,1473,820,672,1193,2184,1184,205,1139,1008,,35.9,5.56,
C,Farmyard manure compost,6,4,6.05,2.04,63.9,12.8,87.9,197.0,24.2,13.1,18.8,13.58,8.22,7.19,586,1112,267,486,616,112,612,2287,716,492,703,726,,30.8,4.73,
C,Farmyard manure compost,6,6,5.87,2.03,70.3,14.6,70.3,213.2,23.7,13.1,20.8,19.13,8.93,7.57,1711,956,514,753,1059,37,606,1046,161,397,832,498,9.6,34.7,6.61,
C,Farmyard manure compost,6,8,6.22,1.74,54.1,15.0,79.1,206.0,23.2,13.6,21.0,21.03,9.26,7.49,1508,2393,236,515,1454,774,843,570,933,482,609,524,,32.9,5.2,
C,Farmyard manure compost,6,10,6.1,2.11,60.9,12.1,68.8,175.1,23.7,10.2,17.3,16.61,8.45,9.0,990,193,218,991,1418,794,487,582,1510,276,681,840,,32.5,5.58,
C,Farmyard manure compost,6,12,6.0,1.94,81.8,14.4,74.1,196.6,22.4,11.1,16.7,21.6,11.71,8.35,949,463,631,1170,1073,612,1244,686,369,990,835,206,,35.4,5.7,3766.6
D,Compost + leaf-litter blend,1,0,6.35,2.12,68.2,13.8,82.9,189.4,28.9,14.3,17.3,27.34,10.76,5.88,719,1014,1017,1180,620,1271,350,1150,495,156,410,460,,35.5,6.88,
D,Compost + leaf-litter blend,1,2,6.37,2.09,73.7,16.0,91.2,191.6,27.6,10.6,23.1,30.29,10.89,5.52,1260,629,1048,614,412,747,821,1573,697,1014,1623,1248,,31.1,6.96,
D,Compost + leaf-litter blend,1,4,5.95,2.12,76.6,15.3,82.5,219.5,23.5,14.0,19.1,22.41,11.62,9.49,615,721,672,515,1176,248,478,1564,299,700,587,579,,34.2,6.54,
D,Compost + leaf-litter blend,1,6,6.1,1.96,73.3,11.2,85.7,207.5,31.0,10.9,23.7,27.24,13.1,8.26,1305,745,270,837,1204,141,1342,1031,954,947,763,711,11.4,36.9,5.33,
D,Compost + leaf-litter blend,1,8,6.29,1.99,75.2,14.8,89.5,181.3,31.6,13.3,24.1,23.69,11.18,10.74,551,659,764,487,902,570,1411,710,1796,846,652,636,,34.3,5.41,
